Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Investigator or Source,href
2001.06.12,2001-06-12,2001,Unprovoked,USA,Texas,Padre Island National Seashore,Swimming,M,14,Leg lacerated,N,,1.5 m [5'] shark,"Houston Chronicle, 6/17/2001",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.06.12-Black.pdf
2001.06.10,2001-06-10,2001,Provoked,USA,California,Catalina Island,Fishing,M,52,"No injury. Shark made threat display, then diver shot the shark PROVOKED INCIDENT",N,09h00,"White shark, 2.4 m to 3 m [8' to 10'] ","R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.06.10-McNair.pdf
2001.06.09,2001-06-09,2001,Provoked,AUSTRALIA,New South Wales,Lord Howe Island (island group 440 miles northeast of Sydney),,M,75,Remains recovered from gut of a  3.7 m [12'] tiger shark,,,Shark involvement prior to death was not confirmed,Times Online,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.06.09-Applet.pdf
2001.06.03,2001-06-03,2001,Unprovoked,USA,South Carolina,"Off 21st Avenue, Isle of Palms, Charleston County",Wading,F,29,3 puncture wounds on each side of her left  hand,N,Shortly before 13h00,2' shark,"C. Creswell, GSAF, Charleston Post & Courier, 6/4/2001",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.06.03-MaryPound.pdf
2001.05.29,2001-05-29,2001,Unprovoked,USA,Texas,Galveston Island,,M,16,Survived,N,,,sharkattacks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.05.29-Galveston.pdf
2001.05.23 ,2001-05-23,2001,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,M,11,Shin lacerated,N,,1.2 m to 1.5 m [4.5' to 5'] shark,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.05.23-Choate.pdf
2001.05.20,2001-05-20,2001,Unprovoked,USA,South Carolina,"Fripp Island, Beaufort County",Swimming,M,,5.5-inch laceration on calf,N,19h00,,"Charlotte Observer, 5/23/2001, p.5B; Greenville News, 5/26/2001",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.05.20-Heidenreich.pdf
2001.05.18,2001-05-18,2001,Provoked,PHILIPPINES,Zamboanga del Sur Province,,Fishing,M,24,Arm bitten PROVOKED INCIDENT,N,,,AFP,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.05.18-Badi.pdf
2001.05.11,2001-05-11,2001,Provoked,MADAGASCAR,,Shipwrecked Ferry M/V Samsonnette,,M,,Fatal or drowned & remains scavenged by shark,,,Shark involvement prior to death was not confirmed,GDACS (Global Disaster Alert & Coordination System),http://sharkattackfile.net/spreadsheets/pdf_directory/2001.05.11-Madagascar.pdf
2001.05.08,2001-05-08,2001,Unprovoked,SOUTH AFRICA,Eastern Cape Province,East London,Surfing,M,26,Leg bitten,N,,"White shark, 2.7 m to 3 m [9' to 10'] ","East London Daily Dispatch, 5/9/2001",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.05.08-Van Staden.pdf
2001.05.04,2001-05-04,2001,Unprovoked,AUSTRALIA,New South Wales,Noraville,Surfing,M,33,"Chest lacerated, surfboard bitten",N,17h45,,"Newcastle Herald; Sunday Mail (QLD), 5/6/2001, p.46; Sunday Territorian, 5/6/2001, p.8",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.05.04-Valentine.pdf
2001.05.03,2001-05-03,2001,Unprovoked,USA,Florida,"Jacksonville, Duval County",Surfing,M,45,Foot lacerated ,N,19h00,1.2 m to 1.5 m [4' to 5'] shark,"J. Eager, scubaradio.com; J. Gaudin, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.05.03-McCall.pdf
2001.05.00,2001-05-01,2001,Unprovoked,FIJI,Taveuni,,Fishing,M,,FATAL,Y,,,FijiTV,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.05.00-Fiji.pdf
2001.04.28,2001-04-28,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boarding,M,14,4 small lacerations on lower right leg,N,15h49,,"S. Petersohn, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.28-NV-NewSmyrnaBeach.pdf
2001.04.13.b,2001-04-13,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,Foot & ankle lacerated,N,11h00,,"J. Eager, scubaradio.com; Orlando Sentinel, April 14, 2001, p.A1",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.13.b-Bush.pdf
2001.04.13.a,2001-04-13,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,12,Right foot & ankle lacerated,N,10h55,Possibly a juvenile blacktip or spinner shark,"S. Petersohn, GSAF; Orlando Sentinel, 4/14/2001, p.A1",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.13.a-Barron.pdf
2001.04.12.e,2001-04-12,2001,Unprovoked,USA,Florida,"Waveland Beach, Hutchinson Island, St Lucie County",,M,35,Right ankle & lower leg lacerated,N,16h00,,"M. Large, Stuart News, 4/13/2001 ",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.12.e-WavelandBeach.pdf
2001.04.12.d,2001-04-12,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,38,Foot & ankle lacerated,N,16h45,,"S. Petersohn, GSAF; Orlando Sentinel, 4/14/2001, p.A1",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.12.d-Spence.pdf
2001.04.12.c,2001-04-12,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Small cuts on big & pinky toes of left foot,N,16h05,Possibly a juvenile blacktip or spinner shark,"S. Petersohn, GSAF; Orlando Sentinel, 4/14/2001, p.A1",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.12.c-Browning.pdf
2001.04.12.b,2001-04-12,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boarding,M,12,Foot & ankle lacerated,N,12h34,Possibly a juvenile blacktip or spinner shark,"S. Petersohn, GSAF; Orlando Sentinel, 4/14/2001, p.A1",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.12.b-Fasio.pdf
2001.04.12.a,2001-04-12,2001,Unprovoked,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",Surfing,M,22,Foot lacerated,N,11h53,Possibly a 1.5 m [5'] blacktip or spinner shark,"S. Petersohn, GSAF; Orlando Sentinel, 4/14/2001, p.A1",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.12.a-Lloyd.pdf
2001.04.11.d,2001-04-11,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Minor cuts on right heel & foot,N,8:04 pm,Possibly a juvenile blacktip or spinner shark,"S. Petersohn, GSAF; scubaradio.com; Orlando Sentinel, 4/14/2001, p.A1",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.11.d-Thresher.pdf
2001.04.11.c,2001-04-11,2001,Unprovoked,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",Surfing,M,22,Lacerations to top & bottom of left foot,N,12h46,,"S. Petersohn, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.11.c-NV-Carter.pdf
2001.04.11.a,2001-04-11,2001,Unprovoked,USA,Hawaii,"Ewa Beach, O'ahu",Surfing,M,,Minor punctures & lacerations on left hand ,N,07h00,"1 m shark, possibly whitetip reef shark",Honolulu Star Bulletin,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.11.a-Dano.pdf
2001.04.10,2001-04-10,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,,16,Foot lacerated,N,,Possibly a juvenile blacktip or spinner shark,"Orlando Sentinel, 4/14/2001, p.A1",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.10-PortOrangeSurfer.pdf
2001.04.08.b,2001-04-08,2001,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,Surfing,M,46,"Thigh, hip & buttock bitten",N,09h30,"White shark, 2.7 m [9'] ","M. Smale, P.E. Museum      ",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.08.b-Hogan.pdf
2001.04.08.a,2001-04-08,2001,Provoked,AUSTRALIA,New South Wales,Bronte Beach,Snorkeling,M,,Wrist lacerated PROVOKED INCIDENT,N,,Wobbegong shark,"ABC News; Northern Territory News, 4/9/2001, p.2",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.08.a-Markossian.pdf
2001.04.05,2001-04-05,2001,Unprovoked,USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County",Standing,M,26,Minor lacerations to dorsum of left foot,N,14h45,"""small shark""","S. Petersohn, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.05-Bartholem.pdf
2001.04.02.b,,2001,Unprovoked,BRAZIL,Rio Grande de Norte,"Praia de Camapum, Macau",,F,12,Left thigh bitten,N,,,M. Szpilman,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.02.b-ACC.pdf
2001.04.02.a,2001-04-02,2001,Unprovoked,AUSTRALIA,New South Wales,Nambucca River Entrance,Surfing,M,40,Calf bitten,N,10h00,Bronze whaler shark,"T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.02.a-Ellis.pdf
2001.03.23,2001-03-23,2001,Unprovoked,USA,Hawaii,"Sandy Beach, Oahu",Boarding,M,,"Minor cuts on left hand, body board bitten",N,14h40,,Hawaii Department of Land and Natural Resources,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.03.23-Mendez.pdf
2001.03.09,2001-03-09,2001,Unprovoked,USA,Florida,"Coral Cove Park, Jupiter Island, Martin County",Surfing,M,,Fingers & hand lacerated,N,,"Spinner shark, 1.2 m to 1.5 m [4' to 5'] ",Shark Survivor. Inc.,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.03.09-Hooker.pdf
2001.03.08,2001-03-08,2001,Provoked,BRAZIL,Bahia,Nova Vicosa,,M,12,Lacerations below the knee,,,Shark involvement not confirmed,M. Szpilman,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.03.08-VAF.pdf
2001.03.03,2001-03-03,2001,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,M,20,FATAL,Y,,,"JC, 3/7/2001; Orlando Sentinel, 3/9/2001, p.A13",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.03.03-Brasileiro.pdf
2001.03.00,2001-03-01,2001,Unprovoked,CARIBBEAN SEA,,Between St. Maarten & Anguilla,,,,"Human remains recovered in shark caught off Anguilla, probable scavenging on drowned body",Y,,"Tiger shark, 8' ","C. Johansson, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.03.00-Anguilla.pdf
2001.02.26,2001-02-26,2001,Provoked,AUSTRALIA,Western Australia,Albany (incident took place 200 metres from swimmers),Fishing,,,No injury to occupants,N,,"White shark, 5 m [16.5'] ",Illwara Mercury,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.02.26-BOAT.pdf
2001.02.11,2001-02-11,2001,Provoked,MALAYSIA,Off the western coast of peninsular Malaysia,Pulau Pangkor (Pangkor Island),,F,,Bones recovered by fishermen in 300-kg [662-lb] white sharks gut,,,Shark involvement prior to death was not confirmed,Associated Press,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.02.11-Pangkor.pdf
2001.02.04,2001-02-04,2001,Unprovoked,AUSTRALIA,New South Wales,Broome Head,Surfing,M,40,Leg bitten,N,16h15,"Bronze whaler shark, 2.5 m [8.25']  k","Daily Dispatch, 2/6/2001",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.02.04-Butler.pdf
2001.01.24.R,2001-01-24,2001,Provoked,AUSTRALIA,New South Wales,South West Rocks,Kayaking,M,35,"No injury, shark rammed & bit kayak",N,,5 m shark,"Daily Telegraph 1/24/2001, p.19",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.01.24.R-Elkinton.pdf
2001.01.24,2001-01-24,2001,Unprovoked,CUBA,Holquin Province,Off Blau Costa Verde resort,Swimming,F,55,Left arm bitten,N,,2 m [6.75'] shark,"Trip Advisor, et al.",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.01.24.a-Hamalainen.pdf
2001.01.21 ,2001-01-21,2001,Provoked,AUSTRALIA,South Australia,Adelaide,Fishing,,,No injury to occupants,N,,"White shark, 4.3 m [14'] ","Northern Territory News, 1/22/2001, p.8",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.01.21-FishingBoats.pdf
2001.01.09,2001-01-09,2001,Unprovoked,USA,California,"Sunset Cliffs, San Diego",Surfing,M,,"Foot bruised, board dinged",N,,"1.8 m to 2.4 m [6' to 8'] ""black finned shark""",M. Sanders,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.01.09-McCash.pdf
2001.01.06,2001-01-06,2001,Provoked,NEW ZEALAND,North Island,Sandy Bay/Whananaki,Kayaking,M,,"No injury, kayak bitten",N,,White shark,C. Duffy,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.01.06-MikeHogan.pdf
2000.12.24,2000-12-24,2000,Unprovoked,AUSTRALIA,Queensland,Flinders Cay,Diving,M,23,Hand bitten,N,,,"Daily Telegraph, 12/26/2000, p.7",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.12.24-FlindersDiver.pdf
2000.12.12,2000-12-12,2000,Unprovoked,FIJI,Taveuni,Garden Island Resort,Swimming,M,47,"FATAL, leg severed ",Y,14h30,6 m [20'] shark,multiple internet sources,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.12.12-Loxton.pdf
2000.12.11,2000-12-11,2000,Provoked,AUSTRALIA,South Australia,"3 km off Port Victoria, Yorke Peninsula",Fishing,,,No injury to occupants,N,,"White shark, 4.5 m [14'9""] ","The Dominion, 12/13/2000; Northern Territory News, 12/13/2000, p.9",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.12.11- boat.pdf
2000.12.05,2000-12-05,2000,Unprovoked,CANADA,New Brunswick,Bay of Fundy,Diving,M,30,No injury,N,,"Porbeagle shark, 3 m [10']rk","A. Martin; Telegraph-Journal,  12/8/2000",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.12.05-MacDonald.pdf
2000.12.03,2000-12-03,2000,Unprovoked,AUSTRALIA,Queensland,"Sykes Reef, Great Barrier Reef",Fishing,M,38,Left elbow and forearm bitten,N,09h30,"Bronze whaler shark, 2.5 m [8.25'] ","N. Leys; Daily Telegraph, 12/4/2000.p.3",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.12.03-ChrisHogan.pdf
2000.12.00,2000-12-01,2000,Unprovoked,NEW ZEALAND,Cook Islands,"Arorangi, Rarotonga",Surfing,F,,FATAL,Y,,,"C. Tini, R.D. Weeks, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.12.00 - Arorangi.pdf
2000.11.21,2000-11-21,2000,Unprovoked,AUSTRALIA,Queensland,Orpheus Island,Diving,M,28,"No injury, wetsuit & swimfin torn",N,,"Tiger shark, 4 m ","Courier-Mail, 11/24/2000, p.3",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.11.21-Lyons.pdf
2000.11.20,2000-11-20,2000,Provoked,AUSTRALIA,South Australia,Ceduna,,M,47,"Missing, thought to have been taken by a shark",,,Shark involvement not confirmed,"T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.11.20-Thorpe.pdf
2000.11.18,2000-11-17,2000,Unprovoked,USA,Florida,"Bonita Springs, Lee County",Swimming,M,73,Right calf lacerated,N,12h00,1.2 m to 1.8 m [4' to 6'] shark,"South Florida Sun Sentinel, 11/19/2000, p.6B",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.11.18-Shadforth.pdf
2000.11.10,2000-11-10,2000,Provoked,USA,Florida,"Vaughn Beach, Flagler County",Walking,F,27,No injury,,,Invalid,E. Skeie,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.11.10-Skeie.pdf
2000.11.06.b,2000-11-06,2000,Unprovoked,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",Swimming,M,52,Leg & feet lacerated,N,06h30,"White shark, 4.9 m [16'] ","B. May, AAP; G. Thiel",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.11.06.b-Avery.pdf
2000.11.06.a,2000-11-06,2000,Unprovoked,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",Swimming,M,49,"FATAL, torso bitten, leg severed ",Y,06h30,"White shark, 5 m [16.5'] ","B. May, AAP; G. Thiel",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.11.06.a-KenCrew.pdf
2000.11.04,2000-11-04,2000,Unprovoked,USA,California,"1/4 to 1/2 m north of the jetty at Bunkers, Eureka, Humboldt County",Surfing,M,27,Both thighs bitten,N,16h30,"White shark, 2.4 m to 3 m [8' to 10'] ","J. Ramsay, California Fish & Game; R. Collier",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.11.04-Stewman.pdf
2000.10.29,2000-10-29,2000,Provoked,AUSTRALIA,Queensland,Peel Island,Fishing,,31,"No Injury to occupant, shark holed and sank boat",N,22h00,White shark,"T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.10.29-Kelly.pdf
2000.10.20,2000-10-20,2000,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St Lucie County",Surfing,M,23,Leg lacerated,N,18h00,,"Stuart News, 10/21/2000",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.10.20-Licamele.pdf
2000.10.18,2000-10-18,2000,Unprovoked,USA,Hawaii,Olowalu,Swimming,F,56,Right side of back / torso lacerated,N,11h20,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",GSAF,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.10.18-Musselwhite.pdf
2000.10.14,2000-10-14,2000,Unprovoked,USA,Florida,"South Beach, Sebastian, Indian River County",Swimming,M,69,Right hand lacerated,N,15h30,,"D. Robinson, Vero Beach Press Journal, 10/17/2000, p.A4",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.10.14-Payne.pdf
2000.10.09,2000-10-09,2000,Unprovoked,USA,Florida,"Lake Worth Inlet/West Palm Beach, Palm Beach County",Surfing,M,17,Foot lacerated,N,Morning,2.1 to 2.4 m [7' to 8'] shark,"South Florida Sun-Sentinel, 10/11/2000",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.10.09-Kraskiecwicz.pdf
2000.10.06.b,2000-10-06,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,23,Fingers lacerated,N,14h30,"Blacktip shark, 2' ","SharkSurvivor.com; M.I.Johnson, Daytona Beach News Journal, 10/7/2000, p.1A; Daytona News Journal, 10/8/2000, p.4B",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.10.06.b-White.pdf
2000.10.06.a,2000-10-06,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,11,Right foot & heel lacerated,N,12h48,,"S. Petersohn, GSAF; M.I.Johnson, Daytona Beach News Journal, 10/7/2000, p.1A; Bradenton Herald 10/8/2000, ",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.10.06.a-Holley.pdf
2000.10.02,2000-10-02,2000,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",Surfing,M,24,Upper left arm lacerated,N,16h30,,"The State (Columbia), 10/6/2000, p.A6",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.10.02-Taylor.pdf
2000.09.29,2000-09-29,2000,Unprovoked,USA,California,"Mavericks, Half Moon Bay, San Mateo County",,M,,No injury,N,09h00,"White shark, 4.3 m [14']","P. Euwer, Ocean.com; D.W. Cole & M. DesJardins, Santa Cruz Sentinel",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.29-Euwer.pdf
2000.09.25,2000-09-25,2000,Unprovoked,AUSTRALIA,South Australia,"Black Point, Eyre Peninsula",Surfing,M,17,FATAL,Y,13h00,White shark,"T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.25-Wright.pdf
2000.09.24,2000-09-24,2000,Unprovoked,AUSTRALIA,South Australia,Cactus Beach near Penong,Surfing,M,25,FATAL,Y,07h30,"White shark, 4 m to 5 m [13' to 16.5'] ","T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.24-Bayes.pdf
2000.09.18,2000-09-19,2000,Provoked,AUSTRALIA,New South Wales,Wollongong,,M,12,Foot lacerated from toe to heel when he tripped on shark during fishing competition PROVOKED INCIDENT,N,,100-kg [221-lb] dead blue shark,Illwara Mercury. 9/19/2000,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.18-boy_provoked.pdf
2000.09.16.b,2000-09-16,2000,Unprovoked,OKINAWA,Miyako Island,Sunayama Beach,Surfing,M,31, FATAL,Y,17h00,"White shark, 2.5 m ",M. Shimbun; japanupdate.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.16.b-Miura.pdf
2000.09.16.a,2000-09-16,2000,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",,,,Non-fatal,N,,,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.16.a-NV-IsleOfPalms.pdf
2000.09.15,2000-09-15,2000,Unprovoked,USA,Florida,"Fort Pierce Inlet, St Lucie County",Standing,M,49,Right lower leg & ankle lacerated,N,18h00,,"SharkSurvivor.com.; The Stuart (FL) News, 9/19/2000",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.15-Smith.pdf
2000.09.12,2000-09-12,2000,Unprovoked,USA,Florida,"Sebastian Inlet, Indian River or Brevard County",Surfing,F,26,Puncture wounds on knee,N,12h00,,"SharkSurvivor.com; Florida Today, 9/13/2000",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.12-Fried.pdf
2000.09.11,2000-09-11,2000,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Surfing,M,25,Finger lacerated,N,13h20,60 cm to 90 cm [2' to 3'] shark,"S. Petersohn, GSAF; Daytona  Beach News Journal, 9/12/2000, p.1.A; Orlando Sentinel, 9/12/2000, p.D2",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.11-Armstrong.pdf
2000.09.10.b,2000-09-10,2000,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,M,8,Minor injury to arm and hand,N,17h42,,"Fort Pierce Tribune, 9/12/2000",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.10.b-Boy.pdf
2000.09.10.a,2000-09-10,2000,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,Diving,M,48,Swim fin bitten,N,11h00,"White shark, 3.5 m [11.5']  male ","E. Ritter, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.10.a-Adkinson.pdf
2000.09.08.c,2000-09-08,2000,Unprovoked,TANZANIA,,"Coco Beach, Dar-es-Salaam (Reported as the 5th fatality in 3 months at Coco Beach)",Swimming,M,28,FATAL,Y,,Thought to involve a Zambesi shark,E. Matechi; A. Mbogora ,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.08.c-Msemwa.pdf
2000.09.08.b,2000-09-08,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,40,Left foot lacerated ,N,11h45,1.5 m [5'] shark,"S. Petersohn, GSAF; M. I. Johnson,  Daytona Beach News Journal, 9/19/2000, p.1A; Orlando Sentinel, 9/9/2000 , p.D2",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.08.b-Crane.pdf
2000.09.08.a,2000-09-08,2000,Unprovoked,REUNION,Saint-Pierre,Pic du Diable ,Surfing,M,27,Left arm bitten,N,18h05,"Tiger shark, 3 m [10'] ","Clicanoo, le journal  de l'Ile de la Réunion; Northern Territory News, 9/12/2000, p.6",http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.08.a-KarimMaan.pdf
